#---------  Match entre o arquivo onde esta contido os dados de StetsonS   -------       1624 estrelas do        ---------
#---------         e o arquivo onde esta contido os dados do 2MASS         -------    Aglomerado aberto NGC188   ---------
#  r(arcmin)  RAJ2000_2m  DEJ2000_2m  RAJ2000_ste  DEJ2000_ste  AJ2000_2m   DEJ2000_2m  AJ2000_ste  DEJ2000_ste  Bmag  e_B  Vmag  e_V
#  Imag  e_I  Jmag   e_J   Hmag   e_H  Kmag  e_K   Memb(%)
 1.2526  0 49 16.902  85 15 58.830  0 49 17.100  85 15 59.000  12.320424  85.266342  12.321250  85.266388 18.944  0.009  17.923  0.002  16.755  0.005  16.157  0.093  15.486  0.127  15.359  0.176  97.
 1.2588  0 47 32.851  85 14 41.290  0 47 32.930  85 14 41.500  11.886881  85.244804  11.887208  85.244858 17.599  0.003  16.762  0.002  15.792  0.003  15.162  0.052  14.672  0.065  14.775  0.107  97.
 1.2724  0 47 45.008  85 14 21.130  0 47 45.130  85 14 21.300  11.937532  85.239204  11.938042  85.239250 15.660  0.003  14.641  0.004  13.561  0.005  12.851  0.025  12.350  0.035  12.279  0.023  95.
 1.2787  0 48 53.721  85 14  9.460  0 48 53.730  85 14  9.400  12.223838  85.235962  12.223875  85.235939 20.034  0.012  19.170  0.005  17.245  0.007  16.256  0.104  15.839  0.179  15.377  0.158   0.
 1.2923  0 49 25.325  85 14 53.820  0 49 25.490  85 14 54.000  12.355519  85.248283  12.356209  85.248329 16.974  0.004  16.242  0.005  15.397  0.004  14.897  0.042  14.485  0.064  14.523  0.080  96.
 1.3009  0 48 47.215  85 14  4.550  0 48 47.400  85 14  4.600  12.196730  85.234596  12.197500  85.234604 19.016  0.010  17.602  0.004  15.870  0.006  14.959  0.044  14.299  0.059  14.060  0.059   0.
 1.3226  0 49  0.633  85 16 24.760  0 49  0.780  85 16 24.900  12.252639  85.273544  12.253250  85.273590 15.735  0.004  15.067  0.002  14.282  0.007  13.819  0.032  13.508  0.041  13.408  0.039  92.
 1.3273  0 47 37.758  85 16 10.640  0 47 37.950  85 16 10.700  11.907327  85.269623  11.908125  85.269646 17.954  0.005  17.080  0.002  16.079  0.006  15.621  0.066  14.970  0.083  14.828  0.107  95.
 1.3289  0 47 51.793  85 16 25.560  0 47 52.030  85 16 25.700  11.965804  85.273766  11.966792  85.273811 16.690  0.003  16.001  0.001  15.219  0.003  14.756  0.051  14.464  0.082  14.363  99.99  98.
 1.3382  0 49 24.298  85 15 52.980  0 49 24.390  85 15 53.200  12.351242  85.264717  12.351625  85.264778 16.525  0.005  15.272  0.002  13.746  0.006  12.878  0.027  12.278  0.030  12.114  0.022   0.
 1.3826  0 47 20.272  85 15 33.430  0 47 20.190  85 15 33.000  11.834465  85.259285  11.834125  85.259163 16.837  0.004  16.131  0.002  15.322  0.004  14.209  0.044  13.911  0.058  13.837  0.066   0.
 1.3864  0 49 33.021  85 15 16.640  0 49 33.170  85 15 16.700  12.387589  85.254623  12.388208  85.254639 15.279  0.004  14.286  0.005  13.231  0.005  12.538  0.027  12.084  0.033  11.976  0.025  94.
